/・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEJ・EEEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEE・EEEEEEEEEEEEEEEEEEEEEEEEEEEEE^,行動パターン,敵の種類,x軸,y軸,速さ,時間,弾幕の種類,弾の色,体力,弾の種類,待機時間,落とすアイテム,2,3,4,5,6
201900,7,0,600,0,2,20,1,1,100,0,40,0,,,,,
201950,7,0,900,0,2,20,1,1,100,0,40,0,,,,,
202000,7,0,400,0,2,20,1,4,100,0,40,0,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
203000,7,3,100,0,1,20,3,5,450,12,40,0,,,,,
203000,7,2,350,0,1,20,3,5,450,12,40,0,,,,,
203000,7,2,750,0,1,20,3,5,450,12,40,0,,,,,
203000,7,3,1000,0,1,20,3,5,450,12,40,0,,,,,
,,,,,,,,,,,,,,,,,
203300,7,3,100,0,1,20,3,5,600,12,40,0,,,,,
203360,7,2,350,0,1,20,3,5,600,12,40,0,,,,,
203360,7,2,750,0,1,20,3,5,600,12,40,0,,,,,
203300,7,3,1000,0,1,20,3,5,600,12,40,0,,,,,
,,,,0,,,,,,,,,,,,,
203400,7,3,100,0,1,20,3,5,500,12,40,0,,,,,
203460,7,2,350,0,1,20,3,5,500,12,40,0,,,,,
203460,7,2,750,0,1,20,3,5,500,12,40,0,,,,,
203400,7,3,1000,0,1,20,3,5,500,12,40,0,,,,,
,,,,,,,,,,,,,,,,,
203700,7,3,100,0,1,20,3,5,450,12,40,0,,,,,
203760,7,2,350,0,1,20,3,5,450,12,40,0,,,,,
203760,7,2,750,0,1,20,3,5,450,12,40,0,,,,,
203700,7,3,1000,0,1,20,3,5,450,12,40,0,,,,,
,,,,,,,,,,,,,,,,,
204000,7,3,100,0,1,20,3,5,450,12,40,0,,,,,
204060,7,2,350,0,1,20,3,5,450,12,40,0,,,,,
204060,7,2,750,0,1,20,3,5,450,12,40,0,,,,,
204000,7,3,1000,0,1,20,3,5,450,12,40,0,,,,,
,,,,,,,,,,,,,,,,,
203600,7,0,600,0,2,20,1,1,380,0,40,0,,,,,
203640,7,0,400,0,2,20,1,4,380,0,40,0,,,,,
203680,7,0,720,0,2,20,1,4,380,0,40,0,,,,,
203720,7,0,850,0,2,20,1,6,380,0,40,0,,,,,
203760,7,0,300,0,2,20,1,6,380,0,40,0,,,,,
203800,7,0,500,0,2,20,1,6,380,0,40,0,,,,,
203840,7,0,150,0,2,20,1,6,380,0,40,0,,,,,
203880,7,0,100,0,2,20,1,1,380,0,40,0,,,,,
203920,7,0,600,0,2,20,1,1,380,0,40,0,,,,,
203960,7,0,800,0,2,20,1,1,380,0,40,0,,,,,
204000,7,0,400,0,2,20,1,4,380,0,40,0,,,,,
204040,7,0,210,0,2,20,1,4,380,0,40,0,,,,,
204080,7,0,720,0,2,20,1,4,380,0,40,0,,,,,
204120,7,0,1000,0,2,20,1,4,380,0,40,0,,,,,
204160,7,0,400,0,2,20,1,4,380,0,40,0,,,,,
204200,7,0,210,0,2,20,1,4,380,0,40,0,,,,,
204240,7,0,720,0,2,20,1,4,380,0,40,0,,,,,
204280,7,0,1000,0,2,20,1,4,380,0,40,0,,,,,
204320,7,0,1000,0,2,20,1,4,380,0,40,0,,,,,
,,,,,,,,,,,,,,,,,
204700,7,3,100,0,0.4,20,4,5,350,12,40,0,,,,,
204700,7,0,350,0,0.4,20,4,5,350,12,40,0,,,,,
204700,7,0,750,0,0.4,20,4,5,350,12,40,0,,,,,
204700,7,3,1000,0,0.4,20,4,5,350,12,40,0,,,,,
,,,,,,,,,,,,,,,,,
204900,7,3,100,0,0.4,20,4,5,350,12,40,0,,,,,
204930,7,0,350,0,0.4,20,4,5,350,12,40,0,,,,,
204930,7,0,750,0,0.4,20,4,5,350,12,40,0,,,,,
204900,7,3,1000,0,0.4,20,4,5,350,12,40,0,,,,,
,,,,,,,,,,,,,,,,,
205210,7,3,100,0,0.4,20,4,5,450,12,40,0,,,,,
205260,7,0,350,0,0.4,20,4,5,450,12,40,0,,,,,
205260,7,0,750,0,0.4,20,4,5,450,12,40,0,,,,,
205210,7,3,1000,0,0.4,20,4,5,450,12,40,0,,,,,
,,,,,,,,,,,,,,,,,
205500,2,2,300,0,0,20,2,0,2400,2,1000,0,,,,,
205500,2,2,800,0,0,20,2,0,2400,2,1000,0,,,,,
,,,,,,,,,,,,,,,,,
205700,7,3,100,0,0.4,20,4,5,450,12,40,0,,,,,
205700,7,3,350,0,0.4,20,4,5,450,12,40,0,,,,,
205700,7,3,750,0,0.4,20,4,5,450,12,40,0,,,,,
205700,7,3,1000,0,0.4,20,4,5,450,12,40,0,,,,,
,,,,,,,,,,,,,,,,,
206200,2,2,300,0,0,20,2,0,2600,2,1000,0,,,,,
206200,2,2,800,0,0,20,2,0,2600,2,1000,0,,,,,
,,,,,,,,,,,,,,,,,
206500,7,3,100,0,0.4,20,4,5,200,12,40,0,,,,,
206500,7,0,350,0,0.4,20,4,5,200,12,40,0,,,,,
206500,7,0,750,0,0.4,20,4,5,200,12,40,0,,,,,
206500,7,3,1000,0,0.4,20,4,5,200,12,40,0,,,,,
